STATE,COUNTY,FACILITY NAME,AVG. ESTIMATE RELEASE (lb)
TN,PUTNAM,FLOWSERVE,10
GA,FULTON,ALCHEM CHEMICAL CO,5
AL,TUSCALOOSA,SOUTHERN HEAT EXCHANGER CORP,64.99125
GA,FULTON,P&D COLOR CO INC,0
MS,MADISON,WESTLAKE COMPOUNDS LLC,2.5
GA,TROUP,MILLIKEN & CO LIVE OAK,0.166666667
TN,HAMILTON,NOURYON SURFACE CHEMISTRY LLC,15.75
FL,MARION,SPX FLOW TECHNOLOGY,1910.926667
GA,COWETA,ELITE COMFORT SOLUTIONS - N CHRISTOPHER CT,2.5
NC,GASTON,FMC LITHIUM USA CORP,581.75
AL,MORGAN,AUTOMATIC SCREW MACHINE PRODUCT CO,0
GA,SPALDING,CATERPILLAR INC GRIFFIN GEORGIA,125
TN,HAWKINS,ABB MOTORS & MECHANICAL INC,57.83333333
NC,MECKLENBURG,ROHM & HAAS CHEMICALS LLC,408.7
FL,POLK,LAKELAND HMA PLANT,0.1
FL,SUMTER,ROBBINS MFG CO,2.5
FL,POLK,GREIF PACKAGING LLC,5945.333333
MS,PERRY,HOOD INDUSTRIES INC,0.204675
SC,SPARTANBURG,ANTOLIN SPARTANBURG,125
GA,STEPHENS,PATTERSON PUMP CO,0
KY,HENDERSON,BIG RIVERS ELECTRIC CORP REID/GREEN/HMP&L STATION II,27508.00226
TN,SHELBY,NUCOR STEEL MEMPHIS INC,221.8986364
GA,BIBB,CHEROKEE BRICK & TILE CO,5780.626
NC,PERSON,CERTAINTEED GYPSUM NC INC,0.01025
SC,CHESTER,OMNOVA SOLUTIONS INC,176.3684615
NC,GUILFORD,GREENSBORO PLANT,0.0019
FL,ESCAMBIA,U.S. NAVY NAVAL AIR STATION PENSACOLA,0.333333333
KY,JEFFERSON,HEXION INC,745.4166667
NC,NEW HANOVER,S&W CASTLE HAYNE PLANT,0.00655
KY,BOONE,LYONS EAST,27.5
KY,SCOTT,VUTEQ USA INC,5411
AL,WALKER,SOUTHEAST WOOD,0
FL,HENDRY,US SUGAR CORP-CLEWISTON SUGAR HOUSE,17813.6975
SC,GREENVILLE,MICHELIN TWEEL TECHNOLOGIES,0.93
FL,LEE,CEMEX ROCKFILL,0
GA,BIBB,TRANE MACON (FC BUILDING),0.00263625
SC,CHARLESTON,INGEVITY SOUTH CAROLINA LLC CHARLESTON CHEMICAL PLANT,2943.399071
SC,HAMPTON,ELLIOTT SAWMILLING CO INC,9149.335525
FL,DUVAL,WESTROCK CP LLC,2082.227
GA,CRAWFORD,BLUE CUBE OPERATIONS LLC,0
TN,HAMILTON,PLASTIC OMNIUM AUTO EXTERIORS LLC,397.3333333
GA,ROCKDALE,PRATT INDUSTRIES MILL DIV CONYERS,337.87
FL,ALACHUA,ARGOS NEWBERRY PLANT,3089.531614
FL,ORANGE,SONOCO PRODUCTS CO,1041
NC,GUILFORD,DDP SPECIALTY ELECTRONIC MATERIALS US9 LLC,2759.25
SC,BERKELEY,DAK AMERICAS LLC COOPER RIVER PLANT,1980.508638
FL,ESCAMBIA,INTERNATIONAL PAPER PENSACOLA MILL,26366.84025
NC,ROCKINGHAM,PINE HALL BRICK CO INC,5409.428571
SC,GREENVILLE,BASF CORP MAULDIN PLANT,1113.825833
MS,LEE,THE COOPER TIRE CO,50.581
SC,RICHLAND,INTERNATIONAL PAPER CO EASTOVER MILL,14985.48351
KY,WARREN,HENNESSY INDUSTRIES INC BADA DIV,2.09
GA,WALTON,HITACHI AUTOMOTIVE SYSTEM AMERICAS - GEORGIA FACTORY,0.625
SC,SPARTANBURG,SYNTHOMER USA LLC,308.3908333
NC,CLEVELAND,COMMERCIAL VEHICLE GROUP KINGS MOUNTAIN FACILITY,6000
NC,JONES,ROWMARK CUSTOM LAMINATIONS,578.07125
SC,UNION,STELLA-JONES CORP,1.333333333
AL,ST CLAIR,NATIONAL CEMENT CO OF ALABAMA INC,1611.12275
GA,WHITFIELD,TRINSEO,110.8125
TN,MONTGOMERY,FLORIM USA INC,313.4383333
FL,TAYLOR,FOLEY CELLULOSE LLC,23320.66417
FL,VOLUSIA,ARGOS DAYTONA CONCRETE PLANT,0.11
GA,GWINNETT,FERRO CORP,0
FL,MIAMI-DADE,SAFETY-KLEEN SYSTEMS MIAMI (MFL),0.25
AL,FAYETTE,GEORGIA PACIFIC WOOD PRODUCTS LLC BELK AL,12600
TN,SHELBY,TRADEBE TREATMENT & RECYCLING OF TENNESSEE LLC,177.2354688
NC,MECKLENBURG,BRENNTAG MID-SOUTH,632.8333333
SC,SPARTANBURG,CONCEPT PACKAGING GROUP,8002.5
MS,HINDS,DOUBLE G COATINGS CO LP,83.175
AL,DEKALB,SIEMENS ENERGY INC,202.75
GA,HENRY,ECOLAB INC,94.625
FL,BREVARD,MNEMONICS INC,0
MS,MONROE,TRUE TEMPER SPORTS INC,83.75
MS,COAHOMA,THE COOPER TIRE CO,17.975
MS,HINDS,TRI STATE BRICK & TILE CO INC,17.19
KY,DAVIESS,OWENSBORO MUNICIPAL UTILITIES ELMER SMITH STATION,23526.15709
SC,GREENVILLE,ROYAL ADHESIVES & SEALANTS LLC,651.7285714
TN,DAVIDSON,PALM COMMODITIES INTERNATIONAL LLC,0
TN,MARSHALL,DOLE REFRIGERATING CO,0
NC,MECKLENBURG,NEXEO SOLUTIONS LLC,257.2272727
SC,GREENVILLE,CPJ TECHNOLOGIES,97.3975
NC,EDGECOMBE,KEIHIN CAROLINA SYSTEM TECHNOLOGY LLC,4677.833333
NC,ALEXANDER,AMERICAN ROLLER BEARING & MANUFACTURING INC,315.6
MS,LAUDERDALE,SOUTHERN CAST PRODUCTS INC,390.305
KY,BOYD,CATLETTSBURG REFINING LLC,3385.65
FL,CHARLOTTE,ARGOS PUNTA GORDA CONCRETE PLANT,0.055
KY,LOGAN,DARLING INGREDIENTS INC,0
TN,MCMINN,WAUPACA FOUNDRY INC PLANT 6,947.9554545
FL,MARTIN,TURBOCOMBUSTOR TECHNOLOGY INC,49.25
TN,WILSON,JDC COATINGS INC,1945
MS,TUNICA,SCHULZ XTRUDED PRODUCTS,0.65625
NC,WAYNE,ARGOS READY MIX GOLDSBORO CONCRETE PLANT,0.035
SC,SPARTANBURG,AFL TELECOMMUNICATIONS,0
GA,HALL,PPG ARCHITECTURAL FINISHES INC,5.99611
KY,JEFFERSON,BASF CORP,0.8
GA,GWINNETT,ARGOS LAWRENCEVILLE CONCRETE PLANT,0.1
FL,PINELLAS,TSE INDUSTRIES INC,1509.75
NC,NASH,CLAYTON NASHVILLE,0.005
FL,HILLSBOROUGH,CITGO PETROLEUM CORP,119.125
FL,ORANGE,STANTON ENERGY CENTER,16048.79876
GA,MUSCOGEE,KEMIRA CHEMICALS INC,517.8292857
SC,LEXINGTON,ELECTRO-SPEC INC,0.866666667
GA,FLOYD,PEACH STATE LABORATORIES LLC,171.5
GA,COWETA,YAMAHA MOTOR MANUFACTURING CORP OF AMERICA,41.51708
TN,CARTER,MAPES PIANO STRING CO,0
KY,MARSHALL,CYMETECH CORP,2.61875
KY,MADISON,OKONITE CO INC,13.25
AL,JEFFERSON,SHERWIN-WILLIAMS CO,404.2647059
GA,SUMTER,RECREATION UNLIMITED LLC,8073.5
MS,MONROE,TRONOX LLC (PART),10444.57288
TN,HAMILTON,KOMATSU AMERICA CORP,652.6666667
FL,HILLSBOROUGH,CEMEX PLANT CITY 2,0
GA,FULTON,US PENITENTIARY,0.77
KY,BARREN,BLUEGRASS DAIRY & FOOD INC,63.75
SC,GREENVILLE,AVX CORP,1.99
AL,SHELBY,LHOIST NA OF ALABAMA LLC-O'NEAL PLANT,14791.96032
GA,WHITFIELD,HARCROS CHEMICALS INC,3359.75
SC,SPARTANBURG,BOILER TUBE CO OF AMERICA  LYMAN FACILITY,0.395
FL,MANATEE,MANATEE READY MIX PLANT,0.15
SC,HORRY,ARGOS READY MIX SURFSIDE CONCRETE PLANT,0.17
SC,BARNWELL,AMERICAN ZINC RECYCLING CORP,945.302
FL,MANATEE,FLORIDA POWER & LIGHT CO FPL MANATEE POWER PLANT,4774.055
FL,HILLSBOROUGH,78TH STREET READY MIX PLANT,0.115
SC,HAMPTON,FEDERAL CORRECTIONAL INSTITUTION ESTILL,0.11
TN,ANDERSON,ADVANCED MEASUREMENT TECHNOLOGY,2481.175
GA,LOWNDES,LANGDALE FOREST PRODUCTS CO,2873.1
SC,ANDERSON,MPLX TERMINALS LLC - BELTON SC TERMINAL,70.08333333
FL,HILLSBOROUGH,TAMPA STEEL ERECTING CO,93.385
FL,HILLSBOROUGH,SEPARATION TECHNOLOGIES LLC,0.4383
SC,MARION,BGM AMERICA INC,10502.5
GA,PEACH,PYROTECHNIC SPECIALTIES INC,0
TN,SHELBY,MARSHALL STEEL INC,8.2
GA,GWINNETT,SIENNA CORP,0
AL,TUSCALOOSA,WARRIOR ROOFING MANUFACTURING INC,0.775
AL,MARION,JOY GLOBAL CONVEYORS,59
NC,GASTON,KEYSTONE POWDERED METAL CO,0
GA,DOUGHERTY,SCHUFF STEEL - ATLANTIC INC,3.8175
TN,SUMNER,KIRBY BUILDING SYSTEM,4.61
KY,FRANKLIN,HAYASHI TELEMPU NA,5.65
AL,MARION,KITH KITCHENS LLC,4244.255
FL,BROWARD,FPL PORT EVERGLADES ENERGY CENTER,30801.5
NC,MECKLENBURG,ITW CCNA PNA CONSTRUCTION TECHNOLOGIES,0
